Latitude (decimal degrees):	51.495
Longitude (decimal degrees):	10.798
Elevation (m):	181
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200403:1310,97.0,286.71,11.16,38.46,7.64,3.45,0.0
20200403:1410,273.76,248.94,12.65,31.93,7.88,3.31,0.0
20200403:1510,65.45,177.45,7.12,23.88,8.32,2.76,0.0
20200403:1610,1.19,68.35,2.37,14.95,7.85,2.14,0.0
20200403:1710,0.53,24.55,0.88,5.66,7.26,1.66,0.0
20200403:1810,0.0,0.0,0.0,0.0,6.48,1.52,0.0
20200403:1910,0.0,0.0,0.0,0.0,6.04,1.72,0.0
20200403:2010,0.0,0.0,0.0,0.0,5.66,1.72,0.0
20200403:2110,0.0,0.0,0.0,0.0,5.35,1.79,0.0
20200403:2210,0.0,0.0,0.0,0.0,4.99,1.86,0.0
20200403:2310,0.0,0.0,0.0,0.0,4.52,1.86,0.0
20200404:0010,0.0,0.0,0.0,0.0,4.07,1.86,0.0
20200404:0110,0.0,0.0,0.0,0.0,3.51,1.79,0.0
20200404:0210,0.0,0.0,0.0,0.0,3.25,1.59,0.0
20200404:0310,0.0,0.0,0.0,0.0,2.53,1.52,0.0
20200404:0410,0.0,0.0,0.0,0.0,1.84,1.45,0.0
20200404:0510,0.0,8.53,0.32,3.01,1.5,1.38,0.0
20200404:0610,61.92,85.27,4.36,12.34,2.37,0.9,0.0
20200404:0710,305.02,119.55,10.02,21.44,4.54,0.97,0.0
20200404:0810,440.84,180.06,13.91,29.84,6.12,0.83,0.0
20200404:0910,339.36,286.75,14.88,36.96,7.11,0.21,0.0
20200404:1010,221.22,334.26,14.47,42.0,7.84,0.34,0.0
20200404:1110,215.08,348.1,14.82,44.17,8.61,0.69,0.0
20200404:1210,655.14,260.51,19.68,43.02,9.04,0.76,0.0
20200404:1310,631.4,218.64,18.28,38.79,9.36,0.9,0.0
20200404:1410,577.22,153.78,15.85,32.23,9.73,1.1,0.0
20200404:1510,394.67,118.54,11.69,24.15,9.86,1.52,0.0
20200404:1610,195.82,74.43,6.94,15.21,9.66,2.07,0.0
20200404:1710,17.99,27.7,2.05,5.91,8.82,2.21,0.0
20200404:1810,0.0,0.0,0.0,0.0,6.99,2.41,0.0
20200404:1910,0.0,0.0,0.0,0.0,6.36,2.76,0.0
20200404:2010,0.0,0.0,0.0,0.0,5.17,2.62,0.0
20200404:2110,0.0,0.0,0.0,0.0,4.17,2.55,0.0
20200404:2210,0.0,0.0,0.0,0.0,3.3,2.41,0.0
20200404:2310,0.0,0.0,0.0,0.0,2.52,2.41,0.0
20200405:0010,0.0,0.0,0.0,0.0,1.78,2.34,0.0
20200405:0110,0.0,0.0,0.0,0.0,1.13,2.34,0.0
20200405:0210,0.0,0.0,0.0,0.0,0.54,2.28,0.0
20200405:0310,0.0,0.0,0.0,0.0,-0.07,2.14,0.0
20200405:0410,0.0,0.0,0.0,0.0,-0.66,2.0,0.0
20200405:0510,0.0,11.64,0.44,3.36,-1.13,1.93,0.0
20200405:0610,119.41,69.82,5.39,12.68,0.38,1.59,0.0
20200405:0710,325.51,111.14,10.34,21.79,4.78,1.79,0.0
20200405:0810,542.65,135.23,14.94,30.21,7.35,2.28,0.0
20200405:0910,722.45,151.74,18.63,37.34,9.55,2.83,0.0
20200405:1010,814.96,175.13,20.82,42.39,11.45,3.31,0.0
20200405:1110,863.12,180.19,21.82,44.55,12.89,3.79,0.0
20200405:1210,867.99,160.36,21.5,43.38,13.79,4.28,0.0
20200405:1310,779.81,145.78,19.57,39.11,14.25,4.62,0.0
20200405:1410,611.89,135.12,16.23,32.52,14.32,4.76,0.0
20200405:1510,403.13,113.58,11.86,24.41,14.12,4.76,0.0
20200405:1610,189.95,77.68,7.0,15.46,13.53,4.14,0.0
20200405:1710,18.01,28.25,2.14,6.16,12.21,3.66,0.0
20200405:1810,0.0,0.0,0.0,0.0,10.38,3.52,0.0
20200405:1910,0.0,0.0,0.0,0.0,9.51,3.52,0.0
20200405:2010,0.0,0.0,0.0,0.0,8.45,3.31,0.0
20200405:2110,0.0,0.0,0.0,0.0,7.43,3.03,0.0
20200405:2210,0.0,0.0,0.0,0.0,6.5,2.83,0.0
20200405:2310,0.0,0.0,0.0,0.0,5.57,2.69,0.0
20200406:0010,0.0,0.0,0.0,0.0,4.56,2.41,0.0
20200406:0110,0.0,0.0,0.0,0.0,3.37,2.21,0.0
20200406:0210,0.0,0.0,0.0,0.0,2.14,1.93,0.0
20200406:0310,0.0,0.0,0.0,0.0,1.45,1.86,0.0
20200406:0410,0.0,0.0,0.0,0.0,1.15,1.72,0.0
20200406:0510,0.0,13.96,0.53,3.7,1.44,1.52,0.0
20200406:0610,144.0,59.66,5.83,13.02,3.23,0.97,0.0
20200406:0710,348.08,102.63,10.72,22.14,6.87,0.69,0.0
20200406:0810,557.97,130.37,15.26,30.57,10.31,1.1,0.0
20200406:0910,740.59,142.93,18.92,37.71,12.41,1.86,0.0
20200406:1010,850.21,158.04,21.26,42.78,14.29,2.07,0.0
20200406:1110,899.86,161.72,22.26,44.93,15.92,2.28,0.0
20200406:1210,904.42,141.59,21.94,43.73,17.3,2.41,0.0
20200406:1310,797.72,138.12,19.89,39.44,18.27,2.62,0.0
20200406:1410,614.69,134.52,16.4,32.81,18.76,2.83,0.0
20200406:1510,412.7,109.87,12.1,24.68,18.79,2.76,0.0
20200406:1610,188.79,79.06,7.12,15.71,18.25,2.14,0.0
20200406:1710,17.56,29.67,2.23,6.41,16.79,2.0,0.0
20200406:1810,0.0,0.0,0.0,0.0,14.64,2.34,0.0
20200406:1910,0.0,0.0,0.0,0.0,12.83,2.28,0.0
20200406:2010,0.0,0.0,0.0,0.0,10.57,2.34,0.0
20200406:2110,0.0,0.0,0.0,0.0,9.08,2.41,0.0
20200406:2210,0.0,0.0,0.0,0.0,7.98,2.34,0.0
20200406:2310,0.0,0.0,0.0,0.0,7.03,2.34,0.0
20200407:0010,0.0,0.0,0.0,0.0,6.15,2.34,0.0
20200407:0110,0.0,0.0,0.0,0.0,5.38,2.55,0.0
20200407:0210,0.0,0.0,0.0,0.0,5.03,2.62,0.0
20200407:0310,0.0,0.0,0.0,0.0,4.77,2.55,0.0
20200407:0410,0.0,0.0,0.0,0.0,4.42,2.41,0.0
20200407:0510,0.0,13.19,0.5,4.04,4.11,2.28,0.0
20200407:0610,114.21,72.32,5.48,13.37,5.98,1.79,0.0
20200407:0710,289.42,123.68,10.1,22.48,9.92,1.52,0.0
20200407:0810,502.42,146.82,14.64,30.93,12.19,1.66,0.0
20200407:0910,670.4,166.06,18.19,38.09,13.78,1.59,0.0
20200407:1010,685.08,224.76,19.74,43.16,15.07,1.72,0.0
20200407:1110,726.7,231.26,20.65,45.31,16.15,1.79,0.0
20200407:1210,745.58,207.67,20.47,44.09,16.91,1.72,0.0
20200407:1310,643.73,201.1,18.45,39.76,17.35,1.59,0.0
20200407:1410,199.53,255.14,11.86,33.1,17.3,1.86,0.0
20200407:1510,181.07,183.36,9.49,24.94,16.89,2.34,0.0
20200407:1610,171.12,83.51,6.91,15.96,16.42,2.34,0.0
20200407:1710,15.0,32.19,2.2,6.66,15.32,2.34,0.0
20200407:1810,0.0,0.0,0.0,0.0,13.41,2.55,0.0
20200407:1910,0.0,0.0,0.0,0.0,12.7,2.55,0.0
20200407:2010,0.0,0.0,0.0,0.0,11.44,2.62,0.0
20200407:2110,0.0,0.0,0.0,0.0,10.43,2.69,0.0
20200407:2210,0.0,0.0,0.0,0.0,9.61,2.69,0.0
20200407:2310,0.0,0.0,0.0,0.0,8.82,2.62,0.0
20200408:0010,0.0,0.0,0.0,0.0,8.08,2.48,0.0
20200408:0110,0.0,0.0,0.0,0.0,7.35,2.41,0.0
20200408:0210,0.0,0.0,0.0,0.0,6.67,2.28,0.0
20200408:0310,0.0,0.0,0.0,0.0,5.97,2.21,0.0
20200408:0410,0.0,0.0,0.0,0.0,5.25,2.07,0.0
20200408:0510,0.0,17.07,0.64,4.38,4.55,2.0,0.0
20200408:0610,127.2,71.63,5.89,13.71,5.92,1.38,0.0
20200408:0710,331.61,112.62,10.84,22.83,9.89,1.59,0.0
20200408:0810,536.4,140.95,15.32,31.29,12.21,1.59,0.0
20200408:0910,737.92,143.85,19.16,38.46,14.48,1.59,0.0
20200408:1010,845.78,157.64,21.44,43.54,16.49,1.66,0.0
20200408:1110,910.54,151.65,22.52,45.69,17.95,1.79,0.0
20200408:1210,897.94,141.33,22.08,44.44,18.83,1.86,0.0
20200408:1310,806.72,128.15,20.12,40.08,19.2,1.52,0.0
20200408:1410,621.53,127.23,16.64,33.38,19.32,1.1,0.0
20200408:1510,402.23,113.69,12.21,25.21,19.17,0.76,0.0
20200408:1610,183.35,81.62,7.26,16.21,18.82,0.69,0.0
20200408:1710,18.39,31.45,2.49,6.9,17.39,0.97,0.0
20200408:1810,0.0,0.0,0.0,0.0,15.39,1.17,0.0
20200408:1910,0.0,0.0,0.0,0.0,15.36,0.97,0.0
20200408:2010,0.0,0.0,0.0,0.0,14.52,0.83,0.0
20200408:2110,0.0,0.0,0.0,0.0,13.47,0.69,0.0
20200408:2210,0.0,0.0,0.0,0.0,12.13,0.97,0.0
20200408:2310,0.0,0.0,0.0,0.0,10.39,1.45,0.0
20200409:0010,0.0,0.0,0.0,0.0,7.94,1.79,0.0
20200409:0110,0.0,0.0,0.0,0.0,6.85,1.86,0.0
20200409:0210,0.0,0.0,0.0,0.0,6.06,1.86,0.0
20200409:0310,0.0,0.0,0.0,0.0,5.64,1.86,0.0
20200409:0410,0.0,0.0,0.0,0.0,5.17,1.86,0.0
20200409:0510,0.0,17.07,0.64,4.72,4.89,1.86,0.0
20200409:0610,103.64,81.21,5.59,14.04,7.06,1.24,0.0
20200409:0710,121.47,171.75,8.17,23.17,10.34,0.97,0.0
20200409:0810,487.31,157.17,14.82,31.64,12.77,1.17,0.0
20200409:0910,420.56,267.18,16.17,38.83,14.27,2.07,0.0
20200409:1010,800.2,168.69,20.91,43.92,15.11,2.21,0.0
20200409:1110,847.83,171.22,21.85,46.06,15.78,1.93,0.0
20200409:1210,536.61,291.96,18.86,44.79,16.37,1.72,0.0
20200409:1310,0.0,134.73,4.63,40.39,16.89,1.93,0.0
20200409:1410,345.91,232.67,13.94,33.67,17.27,2.62,0.0
20200409:1510,335.46,137.94,11.51,25.47,16.99,2.76,0.0
20200409:1610,156.77,90.44,6.94,16.46,16.36,2.83,0.0
20200409:1710,18.34,31.21,2.55,7.15,15.21,2.28,0.0
20200409:1810,0.0,0.0,0.0,0.0,13.56,2.14,0.0
20200409:1910,0.0,0.0,0.0,0.0,12.32,1.72,0.0
20200409:2010,0.0,0.0,0.0,0.0,10.06,1.79,0.0
20200409:2110,0.0,0.0,0.0,0.0,8.59,1.79,0.0
20200409:2210,0.0,0.0,0.0,0.0,7.81,1.72,0.0
20200409:2310,0.0,0.0,0.0,0.0,7.08,1.66,0.0
20200410:0010,0.0,0.0,0.0,0.0,6.66,1.52,0.0
20200410:0110,0.0,0.0,0.0,0.0,6.3,1.38,0.0
20200410:0210,0.0,0.0,0.0,0.0,5.9,1.24,0.0
20200410:0310,0.0,0.0,0.0,0.0,5.28,1.24,0.0
20200410:0410,0.0,0.0,0.0,0.0,4.77,1.24,0.0
20200410:0510,0.0,19.39,0.73,5.05,4.5,1.1,0.0
20200410:0610,51.97,100.37,4.83,14.38,6.52,0.55,0.0
20200410:0710,314.83,125.55,11.01,23.51,8.89,0.69,0.0
20200410:0810,555.98,135.68,15.85,31.99,10.62,0.76,0.0
20200410:0910,720.65,156.56,19.36,39.19,11.95,0.41,0.0
20200410:1010,808.71,182.21,21.53,44.3,13.33,0.55,0.0
20200410:1110,745.96,239.95,21.59,46.44,14.41,1.86,0.0
20200410:1210,685.64,251.7,20.74,45.14,14.69,2.14,0.0
20200410:1310,674.66,200.88,19.42,40.71,14.98,2.28,0.0
20200410:1410,582.22,151.82,16.67,33.95,14.94,2.34,0.0
20200410:1510,407.07,112.56,12.54,25.72,14.61,2.48,0.0
20200410:1610,190.87,79.79,7.62,16.71,14.05,2.48,0.0
20200410:1710,21.65,28.81,2.81,7.39,12.93,2.21,0.0
20200410:1810,0.0,0.0,0.0,0.0,11.14,2.34,0.0
20200410:1910,0.0,0.0,0.0,0.0,9.55,2.34,0.0
20200410:2010,0.0,0.0,0.0,0.0,7.96,2.07,0.0
20200410:2110,0.0,0.0,0.0,0.0,6.39,1.72,0.0
20200410:2210,0.0,0.0,0.0,0.0,5.61,1.52,0.0
20200410:2310,0.0,0.0,0.0,0.0,5.23,1.38,0.0
20200411:0010,0.0,0.0,0.0,0.0,4.71,1.31,0.0
20200411:0110,0.0,0.0,0.0,0.0,4.09,1.31,0.0
20200411:0210,0.0,0.0,0.0,0.0,3.36,1.31,0.0
20200411:0310,0.0,0.0,0.0,0.0,2.92,1.31,0.0
20200411:0410,0.0,0.0,0.0,0.0,2.62,1.24,0.0
20200411:0510,0.0,12.41,0.47,5.39,2.32,1.31,0.0
20200411:0610,153.56,63.49,6.65,14.71,3.79,0.9,0.0
20200411:0710,321.03,123.04,11.19,23.85,6.66,1.52,0.0
20200411:0810,565.59,129.44,16.02,32.34,8.26,2.0,0.0
20200411:0910,704.9,164.88,19.36,39.56,9.8,2.07,0.0
20200411:1010,867.53,147.54,22.05,44.67,11.12,1.93,0.0
20200411:1110,931.77,140.17,23.11,46.81,12.28,1.66,0.0
20200411:1210,901.04,139.55,22.52,45.49,13.22,1.59,0.0
20200411:1310,808.49,127.64,20.56,41.02,13.85,1.66,0.0
20200411:1410,612.61,132.13,16.96,34.23,14.2,1.79,0.0
20200411:1510,403.94,114.0,12.62,25.98,14.17,2.0,0.0
20200411:1610,197.04,76.43,7.79,16.95,13.78,2.07,0.0
20200411:1710,21.09,30.19,2.9,7.63,12.81,1.72,0.0
20200411:1810,0.0,0.0,0.0,0.0,11.12,2.07,0.0
20200411:1910,0.0,0.0,0.0,0.0,9.9,2.21,0.0
20200411:2010,0.0,0.0,0.0,0.0,8.09,2.07,0.0
20200411:2110,0.0,0.0,0.0,0.0,6.44,1.93,0.0
20200411:2210,0.0,0.0,0.0,0.0,5.86,1.66,0.0
20200411:2310,0.0,0.0,0.0,0.0,7.76,1.03,0.0
20200412:0010,0.0,0.0,0.0,0.0,7.61,0.34,0.0
20200412:0110,0.0,0.0,0.0,0.0,7.44,0.07,0.0
20200412:0210,0.0,0.0,0.0,0.0,7.02,0.28,0.0
20200412:0310,0.0,0.0,0.0,0.0,6.58,0.62,0.0
20200412:0410,0.0,0.0,0.0,0.0,5.54,1.03,0.0
20200412:0510,0.0,24.82,0.94,5.71,4.63,1.24,0.0
20200412:0610,136.37,73.03,6.5,15.04,6.04,0.69,0.0
20200412:0710,320.08,120.07,11.19,24.18,10.02,0.83,0.0
20200412:0810,378.28,209.6,14.26,32.69,13.45,1.45,0.0
20200412:0910,329.42,295.65,15.55,39.92,15.22,2.62,0.0
20200412:1010,833.61,158.11,21.73,45.04,16.63,3.1,0.0
20200412:1110,930.11,131.83,23.02,47.18,17.81,3.1,0.0
20200412:1210,915.67,121.53,22.55,45.83,18.53,2.97,0.0
20200412:1310,281.88,314.52,15.26,41.33,18.97,2.9,0.0
20200412:1410,204.27,264.19,12.48,34.51,19.17,3.03,0.0
20200412:1510,204.07,186.63,10.37,26.24,18.67,2.83,0.0
20200412:1610,179.67,83.1,7.62,17.19,18.01,1.86,0.0
20200412:1710,16.8,36.29,2.81,7.88,17.14,1.59,0.0
20200412:1810,0.0,0.0,0.0,0.0,15.51,1.72,0.0
20200412:1910,0.0,0.0,0.0,0.0,13.67,2.07,0.0
20200412:2010,0.0,0.0,0.0,0.0,11.34,2.21,0.0
20200412:2110,0.0,0.0,0.0,0.0,9.68,2.28,0.0
20200412:2210,0.0,0.0,0.0,0.0,8.61,2.34,0.0
20200412:2310,0.0,0.0,0.0,0.0,7.94,2.41,0.0
20200413:0010,0.0,0.0,0.0,0.0,7.41,2.41,0.0
20200413:0110,0.0,0.0,0.0,0.0,6.77,2.48,0.0
20200413:0210,0.0,0.0,0.0,0.0,6.66,2.62,0.0
20200413:0310,0.0,0.0,0.0,0.0,6.85,2.9,0.0
20200413:0410,0.0,0.0,0.0,0.0,7.2,3.1,0.0
20200413:0510,0.0,27.93,1.05,6.04,6.9,3.45,0.0
20200413:0610,47.88,108.11,5.07,15.36,6.75,4.28,0.0
20200413:0710,17.47,157.77,5.77,24.51,7.41,4.55,0.0
20200413:0810,0.0,88.69,3.05,33.03,7.21,4.62,0.0
20200413:0910,0.0,132.18,4.54,40.27,7.22,4.69,0.0
20200413:1010,59.17,310.65,11.57,45.41,7.39,4.76,0.0
20200413:1110,303.19,368.95,17.25,47.54,7.66,4.83,0.0
20200413:1210,698.29,253.73,21.38,46.18,8.25,5.03,0.0
20200413:1310,615.62,234.46,19.42,41.64,8.71,5.38,0.0
20200413:1410,465.52,210.77,16.08,34.78,8.58,5.31,0.0
20200413:1510,345.36,147.93,12.42,26.49,8.28,5.17,0.0
20200413:1610,179.84,89.52,7.91,17.44,7.84,5.1,0.0
20200413:1710,7.57,46.5,2.34,8.12,7.11,4.97,0.0
20200413:1810,0.0,0.0,0.0,0.0,6.07,4.28,0.0
20200413:1910,0.0,0.0,0.0,0.0,5.4,4.28,0.0
20200413:2010,0.0,0.0,0.0,0.0,4.32,4.41,0.0
20200413:2110,0.0,0.0,0.0,0.0,3.21,4.62,0.0
20200413:2210,0.0,0.0,0.0,0.0,2.36,4.34,0.0
20200413:2310,0.0,0.0,0.0,0.0,1.78,3.93,0.0
20200414:0010,0.0,0.0,0.0,0.0,1.46,3.79,0.0
20200414:0110,0.0,0.0,0.0,0.0,1.36,3.86,0.0
20200414:0210,0.0,0.0,0.0,0.0,1.16,3.66,0.0
20200414:0310,0.0,0.0,0.0,0.0,0.98,3.31,0.0
20200414:0410,0.0,0.0,0.0,0.0,0.62,2.97,0.0
20200414:0510,0.0,31.81,1.2,6.36,0.45,2.83,0.0
20200414:0610,167.12,62.53,7.29,15.68,1.38,3.45,0.0
20200414:0710,303.35,138.04,11.48,24.84,2.26,4.0,0.0
20200414:0810,288.06,245.84,13.65,33.37,3.65,3.52,0.0
20200414:0910,403.61,292.29,16.96,40.63,5.15,3.52,0.0
20200414:1010,398.28,340.62,18.13,45.78,6.18,3.38,0.0
20200414:1110,551.61,320.0,20.33,47.9,6.83,3.24,0.0
20200414:1210,789.08,207.34,22.2,46.52,7.4,2.97,0.0
20200414:1310,793.3,140.28,20.94,41.94,7.44,2.9,0.0
20200414:1410,634.86,123.89,17.63,35.06,7.78,2.97,0.0
20200414:1510,413.98,111.38,13.15,26.74,7.76,3.1,0.0
20200414:1610,195.75,79.7,8.17,17.68,7.55,3.17,0.0
20200414:1710,21.54,32.31,3.28,8.36,7.23,2.83,0.0
20200414:1810,0.0,0.0,0.0,0.0,6.67,2.21,0.0
20200414:1910,0.0,0.0,0.0,0.0,5.23,2.41,0.0
20200414:2010,0.0,0.0,0.0,0.0,4.24,2.07,0.0
20200414:2110,0.0,0.0,0.0,0.0,3.36,1.93,0.0
20200414:2210,0.0,0.0,0.0,0.0,2.2,2.0,0.0
20200414:2310,0.0,0.0,0.0,0.0,1.3,2.0,0.0
20200415:0010,0.0,0.0,0.0,0.0,0.69,2.0,0.0
20200415:0110,0.0,0.0,0.0,0.0,0.31,1.93,0.0
20200415:0210,0.0,0.0,0.0,0.0,-0.08,1.86,0.0
20200415:0310,0.0,0.0,0.0,0.0,-0.39,1.86,0.0
20200415:0410,0.0,0.0,0.0,0.0,-0.51,1.86,0.0
20200415:0510,0.0,34.91,1.32,6.68,-0.26,1.79,0.0
20200415:0610,34.95,109.98,4.8,16.0,2.28,1.79,0.0
20200415:0710,143.93,185.52,9.34,25.17,4.64,3.1,0.0
20200415:0810,390.71,212.87,14.88,33.7,6.3,3.79,0.0
20200415:0910,511.59,253.8,18.1,40.98,7.81,3.86,0.0
20200415:1010,774.44,198.72,21.85,46.14,9.31,3.72,0.0
20200415:1110,402.56,352.58,18.6,48.26,10.72,3.52,0.0
20200415:1210,960.01,99.46,23.4,46.85,12.0,3.17,0.0
20200415:1310,763.13,150.79,20.68,42.25,12.97,2.97,0.0
20200415:1410,434.24,216.25,15.79,35.33,13.63,2.83,0.0
20200415:1510,403.96,112.53,13.06,26.99,13.92,2.83,0.0
20200415:1610,176.32,89.18,8.0,17.92,13.78,2.69,0.0
20200415:1710,21.35,32.85,3.37,8.59,13.0,2.0,0.0
20200415:1810,0.0,0.0,0.0,0.0,11.34,2.07,0.0
20200415:1910,0.0,0.0,0.0,0.0,9.93,1.79,0.0
20200415:2010,0.0,0.0,0.0,0.0,7.72,1.79,0.0
20200415:2110,0.0,0.0,0.0,0.0,6.38,1.79,0.0
20200415:2210,0.0,0.0,0.0,0.0,5.63,1.72,0.0
20200415:2310,0.0,0.0,0.0,0.0,4.98,1.72,0.0
20200416:0010,0.0,0.0,0.0,0.0,3.65,2.07,0.0
20200416:0110,0.0,0.0,0.0,0.0,3.08,2.21,0.0
20200416:0210,0.0,0.0,0.0,0.0,3.11,2.21,0.0
20200416:0310,0.0,0.0,0.0,0.0,3.07,2.14,0.0
20200416:0410,0.0,0.0,0.0,0.0,2.99,1.93,0.0
20200416:0510,0.0,31.81,1.2,7.0,3.01,1.72,0.0
20200416:0610,140.66,79.04,7.12,16.32,5.77,1.1,0.0
20200416:0710,349.63,111.53,12.07,25.49,10.47,1.17,0.0
20200416:0810,273.78,245.53,13.5,34.04,12.77,1.66,0.0
20200416:0910,580.67,222.87,18.8,41.33,14.36,1.86,0.0
20200416:1010,694.52,232.32,21.15,46.5,15.67,1.79,0.0
20200416:1110,854.9,176.74,23.02,48.62,16.77,1.59,0.0
20200416:1210,921.13,118.35,23.14,47.19,17.64,1.52,0.0
20200416:1310,810.11,117.4,21.03,42.55,18.31,1.72,0.0
20200416:1410,612.51,126.57,17.46,35.6,18.8,2.14,0.0
20200416:1510,404.59,109.72,13.12,27.24,18.87,2.34,0.0
20200416:1610,187.07,81.25,8.17,18.15,18.56,2.07,0.0
20200416:1710,13.53,44.19,3.02,8.83,17.49,1.45,0.0
20200416:1810,0.0,0.0,0.0,0.0,15.2,1.45,0.0
20200416:1910,0.0,0.0,0.0,0.0,12.98,1.79,0.0
20200416:2010,0.0,0.0,0.0,0.0,10.5,2.07,0.0
20200416:2110,0.0,0.0,0.0,0.0,8.81,2.07,0.0
20200416:2210,0.0,0.0,0.0,0.0,7.89,2.0,0.0
20200416:2310,0.0,0.0,0.0,0.0,7.04,1.93,0.0
20200417:0010,0.0,0.0,0.0,0.0,6.39,1.79,0.0
20200417:0110,0.0,0.0,0.0,0.0,5.6,1.72,0.0
20200417:0210,0.0,0.0,0.0,0.0,4.98,1.66,0.0
20200417:0310,0.0,0.0,0.0,0.0,4.65,1.45,0.0
20200417:0410,0.0,0.0,0.0,0.0,4.45,1.24,0.0
20200417:0510,0.0,33.36,1.26,7.31,4.48,1.1,0.0
20200417:0610,143.26,77.77,7.23,16.63,6.46,0.69,0.0
20200417:0710,341.9,114.86,12.07,25.81,9.36,0.9,0.0
20200417:0810,541.04,140.63,16.46,34.37,10.94,1.03,0.0
20200417:0910,747.84,133.45,20.27,41.67,12.41,1.1,0.0
20200417:1010,820.35,165.41,22.26,46.86,13.78,1.1,0.0
20200417:1110,913.41,138.64,23.49,48.98,14.95,0.9,0.0
20200417:1210,881.43,137.93,22.87,47.52,15.96,0.83,0.0
20200417:1310,775.12,134.15,20.8,42.85,16.62,0.97,0.0
20200417:1410,607.84,125.8,17.46,35.87,16.88,1.03,0.0
20200417:1510,386.87,117.12,13.0,27.49,16.92,0.97,0.0
20200417:1610,188.11,79.79,8.26,18.39,16.69,1.1,0.0
20200417:1710,20.45,34.86,3.51,9.07,16.08,1.24,0.0
20200417:1810,0.0,0.0,0.0,0.0,14.43,1.86,0.0
20200417:1910,0.0,0.0,0.0,0.0,12.39,2.21,0.0
20200417:2010,0.0,0.0,0.0,0.0,10.86,2.14,0.0
20200417:2110,0.0,0.0,0.0,0.0,9.43,2.0,0.0
20200417:2210,0.0,0.0,0.0,0.0,8.08,1.93,0.0
20200417:2310,0.0,0.0,0.0,0.0,7.0,1.93,0.0
20200418:0010,0.0,0.0,0.0,0.0,6.3,1.93,0.0
20200418:0110,0.0,0.0,0.0,0.0,5.72,1.93,0.0
20200418:0210,0.0,0.0,0.0,0.0,5.3,1.93,0.0
20200418:0310,0.0,0.0,0.0,0.0,4.78,1.93,0.0
20200418:0410,0.0,0.0,0.0,0.0,4.55,1.86,0.0
20200418:0510,0.0,32.58,1.23,7.62,4.42,1.72,0.0
20200418:0610,69.9,110.42,5.98,16.94,7.25,1.45,0.0
20200418:0710,264.37,151.19,11.28,26.12,9.22,2.21,0.0
20200418:0810,435.78,189.52,15.49,34.69,10.84,2.28,0.0
20200418:0910,648.62,184.23,19.48,42.01,12.07,2.21,0.0
20200418:1010,810.33,165.57,22.17,47.21,13.67,2.34,0.0
20200418:1110,852.99,169.22,23.05,49.33,14.63,2.34,0.0
20200418:1210,838.32,158.01,22.55,47.85,15.3,2.62,0.0
20200418:1310,415.88,289.97,17.43,43.14,15.62,2.9,0.0
20200418:1410,240.57,263.85,13.47,36.13,16.21,2.76,0.0
20200418:1510,50.03,193.53,7.67,27.73,16.36,2.48,0.0
20200418:1610,7.42,107.27,3.9,18.62,16.02,2.55,0.0
20200418:1710,0.0,16.2,0.56,9.3,15.07,2.14,0.0
20200418:1810,0.0,0.0,0.0,0.0,13.89,2.28,0.0
20200418:1910,0.0,0.0,0.0,0.0,12.88,2.41,0.0
20200418:2010,0.0,0.0,0.0,0.0,12.04,2.21,0.0
20200418:2110,0.0,0.0,0.0,0.0,11.37,2.21,0.0
20200418:2210,0.0,0.0,0.0,0.0,10.74,2.34,0.0
20200418:2310,0.0,0.0,0.0,0.0,9.59,2.69,0.0
20200419:0010,0.0,0.0,0.0,0.0,8.23,2.76,0.0
20200419:0110,0.0,0.0,0.0,0.0,7.1,2.9,0.0
20200419:0210,0.0,0.0,0.0,0.0,6.42,2.76,0.0
20200419:0310,0.0,0.0,0.0,0.0,5.9,2.41,0.0
20200419:0410,0.0,0.0,0.0,0.0,5.61,2.07,0.0
20200419:0510,0.0,36.46,1.38,7.93,5.43,2.07,0.0
20200419:0610,159.46,76.42,7.88,17.25,5.8,2.28,0.0
20200419:0710,397.43,94.35,13.12,26.43,7.46,3.31,0.0
20200419:0810,598.68,120.95,17.52,35.01,8.6,4.0,0.0
20200419:0910,794.3,120.45,21.23,42.35,9.9,4.21,0.0
20200419:1010,917.23,123.11,23.61,47.56,11.11,4.48,0.0
20200419:1110,929.21,145.51,24.25,49.68,12.04,4.69,0.0
20200419:1210,914.06,132.88,23.72,48.18,12.69,4.9,0.0
20200419:1310,834.13,112.84,21.85,43.43,13.05,5.03,0.0
20200419:1410,644.13,115.35,18.28,36.4,13.09,5.1,0.0
20200419:1510,427.96,102.25,13.85,27.98,12.83,5.1,0.0
20200419:1610,213.93,69.73,8.96,18.86,12.19,5.03,0.0
20200419:1710,20.2,38.12,3.78,9.54,11.33,4.41,0.0
20200419:1810,0.0,0.0,0.0,0.0,9.99,4.14,0.0
20200419:1910,0.0,0.0,0.0,0.0,8.96,3.79,0.0
20200419:2010,0.0,0.0,0.0,0.0,8.0,3.86,0.0
20200419:2110,0.0,0.0,0.0,0.0,7.22,3.79,0.0
20200419:2210,0.0,0.0,0.0,0.0,6.55,3.72,0.0
20200419:2310,0.0,0.0,0.0,0.0,6.01,3.72,0.0
20200420:0010,0.0,0.0,0.0,0.0,5.53,3.72,0.0
